area,ciudad,conglomerado,panelm,vivienda,hogar,s91p7,s91p8a,s91p8b,s91p8c,s91p8d,s91p91,s91p92,s91p93,s91p94,s91p95,s91p96,s91p10,s91p111,s91p112,s91p113,s91p114,s91p115,s91p121,s91p122,s91p123,s91p124,s91p125,s91p126,s91p131,s91p132,s91p133,estrato,fexp,upm,id_vivienda,id_hogar,periodo,NEW_VARIABLE,ID_1,NAME_1
1,10150,5103,25,4,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,1,1,1,1,2713,224.8432,10150005103,1015000510302504,10150005103025041,202210,1,1,Azuay
1,10150,5103,25,5,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,2,2,2,2,2713,224.8432,10150005103,1015000510302505,10150005103025051,202210,1,1,Azuay
1,10150,5103,25,6,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,2,2,2,2,2713,224.8432,10150005103,1015000510302506,10150005103025061,202210,1,1,Azuay
1,10150,5103,25,7,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2713,224.8432,10150005103,1015000510302507,10150005103025071,202210,1,1,Azuay
1,10150,5701,25,1,1,3,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,1,2,2712,71.46497364,10150005701,1015000570102501,10150005701025011,202210,1,1,Azuay
1,10150,5701,25,2,1,3,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,1,2,3,2,2712,71.46497364,10150005701,1015000570102502,10150005701025021,202210,1,1,Azuay
1,10150,5701,25,3,1,3,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,2,2,2,2712,71.46497364,10150005701,1015000570102503,10150005701025031,202210,1,1,Azuay
1,10150,5701,25,5,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,1,4,2,2,4,3,3,2712,71.46497364,10150005701,1015000570102505,10150005701025051,202210,1,1,Azuay
1,10150,5701,25,6,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,2,2,2712,71.46497364,10150005701,1015000570102506,10150005701025061,202210,1,1,Azuay
1,10150,5701,25,7,1,3,1,1,1,1,1,2,1,1,1,1,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2712,71.46497364,10150005701,1015000570102507,10150005701025071,202210,1,1,Azuay
1,10150,5701,25,8,1,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,5,5,5,5,5,5,2,2,2,2712,71.46497364,10150005701,1015000570102508,10150005701025081,202210,1,1,Azuay
1,10150,5904,13,1,1,1,3,2,2,1,1,1,1,1,1,1,3,2,2,2,2,2,5,3,4,5,5,1,3,1,1,2713,154.4900121,10150005904,1015000590401301,10150005904013011,202210,1,1,Azuay
1,10150,5904,13,2,1,1,2,1,5,2,1,1,1,1,1,1,2,2,2,2,2,2,1,3,1,5,5,5,5,1,3,2713,154.4900121,10150005904,1015000590401302,10150005904013021,202210,1,1,Azuay
